Delta-AY.119,Isolate 1,Isolate 2,Isolate 3,Isolate 4
0.4788499,0.8411419,1.1224818,1.5540382,0.9633524
0.4813972,0.8289502,1.1369735,1.5489851,0.9767005
0.4748353,0.8172032,1.1605179,1.5589657,0.9671797
0.4838758,0.7984787,1.1736548,1.5490586,0.9644016
0.4850304,0.7776814,1.1846395,1.5287641,0.9746357
0.497312,0.7698977,1.2104619,1.520593,1.0046959
0.5020403,0.7619786,1.221319,1.516974,1.02979
0.5092413,0.7628627,1.196964,1.5136815,1.0257971
0.5166081,0.7809738,1.1613308,1.523412,1.0133469
0.5327564,0.7998802,1.1497736,1.5034513,1.0133582
0.5398118,0.7872165,1.1458769,1.5116217,1.0327094
0.5340623,0.7926417,1.1492116,1.5139422,1.0478469
0.5182993,0.7771939,1.1298908,1.5299965,1.0353891
0.5166869,0.7908411,1.1200478,1.5431954,1.0146711
0.4937299,0.797439,1.1276058,1.5507005,1.0040668
0.4959227,0.8129202,1.1245484,1.5565997,1.0108285
0.4903935,0.8224675,1.1414917,1.5491979,1.0059299
0.4969258,0.8146404,1.1184162,1.5446509,1.0286391
0.492885,0.8219233,1.1193631,1.5489837,1.0221401
0.5112091,0.80527,1.127273,1.53293,1.0347979
0.5228057,0.8146101,1.1307689,1.5217224,1.0342274
0.5209813,0.8169926,1.1321926,1.5051028,1.0187513
0.5213661,0.8317602,1.1057951,1.4817808,1.0154823
0.5271487,0.8387604,1.1156701,1.4906713,0.9898399
0.5187749,0.855247,1.1199356,1.491056,1.0066748
0.5080159,0.8586118,1.1165965,1.4799058,1.0117964
0.5120334,0.8449563,1.1264646,1.4852746,1.0247306
0.511077,0.852256,1.1253877,1.4909469,1.0204475
0.5079761,0.8806465,1.1249119,1.4767303,1.0292865
0.5182761,0.8931045,1.0957575,1.4867725,1.0457859
0.5170977,0.8720586,1.0829262,1.5015011,1.0437564
0.5185202,0.8589457,1.0735691,1.5053422,1.0441393
