Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.3059189,0.5140328,0.6263555,0.5530674,0.5613826,0.5699587,0.6421259,0.7237436,0.6042736,0.5420116,0.5750567
0.2983117,0.5136781,0.6303023,0.5590513,0.54689,0.5748838,0.6439312,0.7270074,0.6217968,0.5393907,0.5707004
0.2957491,0.5435501,0.6337997,0.5688246,0.5331239,0.5956946,0.652768,0.7320135,0.6297749,0.5131614,0.5629647
0.297727,0.5437555,0.6295101,0.5883272,0.4918344,0.60923,0.6738561,0.7510279,0.6354951,0.5198584,0.5638791
0.2998638,0.5348894,0.6232414,0.5746468,0.4939659,0.609796,0.6389642,0.7473832,0.6087296,0.5192413,0.5722061
0.2954524,0.5448319,0.6280341,0.5519954,0.4944245,0.581811,0.6349528,0.7468054,0.6239428,0.5317089,0.5775486
0.3028148,0.5668449,0.6212098,0.54506,0.5051358,0.5702721,0.6669453,0.755075,0.6149558,0.5274634,0.5827493
0.2852277,0.5870234,0.6205508,0.560949,0.4994598,0.5828614,0.6868659,0.756014,0.6067345,0.520476,0.5847466
0.2796768,0.5930012,0.6509134,0.5440655,0.5091555,0.5828669,0.6801356,0.7448764,0.5760617,0.5428597,0.5738878
0.2797551,0.5527618,0.6727214,0.5423712,0.4984984,0.5731368,0.6671395,0.7357412,0.5946235,0.5416206,0.5640251
0.2700216,0.545549,0.6617103,0.5617464,0.4808189,0.6048428,0.6500679,0.7356642,0.5896487,0.5445324,0.5528349
0.2739818,0.54642,0.6625984,0.5850263,0.4729085,0.6032408,0.6454958,0.7521182,0.5820724,0.5342057,0.5328081
0.2805934,0.5555691,0.6553321,0.5806957,0.4851807,0.6093671,0.6626014,0.7680969,0.5833693,0.5631128,0.5399877
0.2816311,0.569357,0.6489506,0.5727515,0.4775506,0.6161604,0.6512106,0.7889467,0.5895551,0.5497555,0.5577585
0.2719726,0.5776655,0.6207674,0.540951,0.4907579,0.6342922,0.6960332,0.7652539,0.6348448,0.532909,0.5592784
